Date,Remark,Value,,,,
1/26/1999,,0.53,,,,
5/25/1999,,0.61,,,,
7/1/1999,,0.69,,,,
8/12/1999,,0.6,,,,
8/24/1999,,0.6,,,,
9/27/1999,,0.637,,,,
10/25/1999,,0.31,,,,
10/18/2004,,0.22,,,,
11/24/2004,,0.21,,,,
12/21/2004,,0.29,,,,
1/19/2005,,0.37,,,,
2/15/2005,,0.4,,,,
3/22/2005,,0.49,,,,
4/18/2005,,0.51,,,,
5/16/2005,,0.49,,,,
6/20/2005,,0.37,,,,
7/20/2005,,0.27,,,,
7/29/2005,,0.27,,,,
8/17/2005,,0.27,,,,
10/19/2005,,0.29,,,,
11/16/2005,,0.21,,,,
12/20/2005,,0.21,,,,
1/17/2006,,0.28,,,,
2/13/2006,,0.33,,,,
3/13/2006,,0.42,,,,
4/17/2006,,0.5,,,,
5/15/2006,,0.55,,,,
6/12/2006,,0.54,,,,
7/17/2006,,0.52,,,,
8/21/2006,,0.7,,,,
9/18/2006,,0.8,,,,
10/16/2006,,0.54,,,,
11/17/2006,,0.54,,,,
12/21/2006,,0.6,,,,
1/18/2007,,0.65,,,,
3/15/2007,,0.73,,,,
4/11/2007,,0.75,,,,
7/16/2007,,0.8,,,,
8/16/2007,,0.84,,,,
9/26/2007,,0.65,,,,
10/18/2007,,0.6,,,,
11/12/2007,,0.61,,,,
12/20/2007,,0.59,,,,
1/17/2008,,0.23,,,,
2/21/2008,,0.66,,,,
3/19/2008,,0.69,,,,
4/17/2008,,0.7,,,,
5/28/2008,,0.81,,,,
6/26/2008,,0.68,,,,
7/23/2008,,0.65,,,,
8/26/2008,,0.31,,,,
10/8/2008,,0.19,,,,
10/15/2008,,0.2,,,,
11/19/2008,,0.26,,,,
12/15/2008,,0.34,,,,
1/12/2009,,0.42,,,,
2/4/2009,,0.49,,,,
2/25/2009,,0.55,,,,
3/12/2009,,0.57,,,,
3/25/2009,,0.57,,,,
4/9/2009,,0.6,,,,
4/23/2009,,0.58,,,,
5/5/2009,,0.65,,,,
5/27/2009,,0.44,,,,
6/3/2009,,0.45,,,,
6/15/2009,,0.45,,,,
7/13/2009,,0.5,,,,
7/21/2009,,0.48,,,,
8/4/2009,,0.44,,,,
8/19/2009,,0.35,,,,
9/1/2009,,0.32,,,,
9/17/2009,,0.3,,,,
10/8/2009,,0.3,,,,
10/21/2009,,0.32,,,,
11/4/2009,,0.34,,,,
11/19/2009,,0.39,,,,
12/16/2009,,0.4,,,,
1/7/2010,,0.45,,,,
2/18/2010,,0.54,,,,
2/24/2010,,0.59,,,,
3/10/2010,,0.59,,,,
3/23/2010,,0.52,,,,
4/5/2010,,0.49,,,,
4/19/2010,,0.45,,,,
5/6/2010,,0.4,,,,
5/20/2010,,0.39,,,,
6/7/2010,,0.42,,,,
6/24/2010,,0.45,,,,
7/8/2010,,0.45,,,,
7/21/2010,,0.46,,,,
8/12/2010,,0.52,,,,
8/26/2010,,0.49,,,,
4/28/2011,,0.81,,,,
5/9/2011,,0.87,,,,
5/23/2011,,0.82,,,,
6/6/2011,,0.8,,,,
6/23/2011,,0.73,,,,
7/7/2011,,0.8,,,,
7/21/2011,,0.86,,,,
8/15/2011,,0.762,,,,
8/22/2011,,0.75,,,,
9/19/2011,,0.81,,,,
11/21/2016,,0.34,,,,
1/17/2017,,0.47,,,,
2/21/2017,,0.55,,,,
3/21/2017,,0.62,,,,
4/19/2017,,0.65,,,,
5/15/2017,,0.64,,,,
6/21/2017,,0.64,,,,
7/26/2017,,0.74,,,,
8/24/2017,,0.51,,,,
10/18/2017,,0.18,,,,
11/20/2017,,0.2,,,,
12/18/2017,,0.24,,,,
1/17/2018,,0.32,,,,
2/20/2018,,0.41,,,,
3/21/2018,,0.49,,,,
4/18/2018,,0.52,,,,
5/15/2018,,0.57,,,,
6/18/2018,,0.55,,,,
7/25/2018,,0.23,,,,
8/20/2018,,0.21,,,,
9/17/2018,,0.25,,,,
10/17/2018,,0.33,,,,
11/19/2018,,0.43,,,,
12/18/2018,,0.43,,,,
1/16/2019,,0.5,,,,
2/19/2019,,0.54,,,,
3/18/2019,,0.64,,,,
4/17/2019,,0.67,,,,
5/21/2019,,0.58,,,,
6/17/2019,,0.71,,,,
7/17/2019,,0.65,,,,
8/20/2019,,0.47,,,,
9/17/2019,,0.35,,,,
10/15/2019,,0.34,,,,
11/21/2019,,0.35,,,,
12/17/2019,,0.42,,,,
1/23/2020,,0.5,,,,
2/20/2020,,0.52,,,,
3/17/2020,,0.54,,,,
4/21/2020,,0.59,,,,
5/18/2020,,0.66,,,,
6/16/2020,,0.59,,,,
7/21/2020,,0.56,,,,
8/18/2020,,0.41,,,,
9/15/2020,,0.35,,,,
9/28/2020,,0.08,,,,
10/20/2020,,0.26,,,,
11/17/2020,,0.28,,,,
12/15/2020,,0.31,,,,
12/22/2020,,0.08,,,,
1/20/2021,,0.37,,,,
2/16/2021,,0.42,,,,
3/15/2021,,0.09,,,,
3/16/2021,,0.49,,,,
4/21/2021,,0.53,,,,
5/18/2021,,0.58,,,,
6/15/2021,,0.64,,,,
6/21/2021,,0.09,,,,
7/20/2021,,0.66,,,,
8/17/2021,,0.46,,,,
9/14/2021,,0.43,,,,
9/15/2021,,0.08,,,,
10/19/2021,,0.32,,,,
11/16/2021,,0.35,,,,
12/9/2021,,0.08,,,,
12/14/2021,,0.39,,,,
1/19/2022,,0.45,,,,
2/17/2022,,0.5,,,,
3/14/2022,,0.48,,,,
3/30/2022,,0.08,,,,
4/20/2022,,0.46,,,,
5/19/2022,,0.47,,,,
6/15/2022,,0.48,,,,
7/19/2022,,0.47,,,,
8/16/2022,,0.52,,,,
9/13/2022,,0.44,,,,
10/18/2022,,0.14,,,,
10/26/2022,,0.14,,,,
11/2/2022,,0.17,,,,
11/7/2022,,0.18,,,,
12/5/2022,,0.2,,,,
12/7/2022,,0.07,,,,
12/13/2022,,0.22,,,,
12/19/2022,,0.23,,,,
1/4/2023,,0.28,,,,
1/19/2023,,0.3,,,,
2/1/2023,,0.33,,,,
2/20/2023,,0.38,,,,
3/1/2023,,0.4,,,,
3/14/2023,,0.08,,,,
3/21/2023,,0.44,,,,
4/4/2023,,0.47,,,,
4/18/2023,,0.5,,,,
5/2/2023,,0.5,,,,
5/17/2023,,0.58,,,,
6/1/2023,,0.55,,,,
6/8/2023,,0.06,,,,
7/5/2023,,0.53,,,,
7/19/2023,,0.53,,,,
8/2/2023,,0.53,,,,
8/15/2023,,0.52,,,,
9/6/2023,,0.47,,,,
9/20/2023,,0.42,,,,
9/28/2023,,0.07,,,,
1/3/2024,,0.08,,,,
3/11/2024,,0.08,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
