Date,Remark,Value
1/26/1999,,0.07
11/9/1999,,0.07
2/24/2000,,0.07
12/12/2000,,0.09
3/29/2001,,0.09
9/19/2001,,0.08
12/19/2001,,0.08
3/14/2002,,0.09
6/19/2002,,0.1
9/16/2002,,1.1625
12/9/2002,,1.425
12/30/2002,,0.07
3/10/2003,,0.82
3/26/2003,,0.08
6/19/2003,,0.08
10/9/2003,,0.07
1/6/2004,,0.07
4/22/2004,,0.08
8/3/2004,,0.08
11/2/2004,,0.07
2/8/2005,,0.07
5/18/2005,,0.08
11/2/2005,,0.06
2/15/2006,,0.07
5/4/2006,,0.08
10/31/2006,,0.09
2/1/2007,,0.08
3/12/2007,,0.09
5/2/2007,,0.1
5/30/2007,,0.1
10/22/2007,,0.09
5/1/2008,,0.1
12/18/2008,,0.08
2/18/2009,,0.09
11/19/2009,,0.09
2/23/2010,,0.08
11/22/2010,,0.09
2/15/2011,,0.09
5/17/2011,,0.09
11/21/2011,,0.08
2/28/2012,,0.12
5/23/2012,,0.12
11/28/2012,,0.08
2/28/2013,,0.09
5/24/2013,,0.09
2/27/2014,,0.09
5/21/2014,,0.1
11/20/2014,,0.08
2/24/2015,,0.07
5/18/2015,,0.08
10/29/2015,,3.2
10/30/2015,,1.8
10/31/2015,,1.7
11/1/2015,,1.6
11/2/2015,,1
11/3/2015,,0.7
11/4/2015,,1.2
11/5/2015,,2.1
11/6/2015,,2.9
11/7/2015,,3
11/8/2015,,5.8
11/9/2015,,9.4
11/10/2015,,6.2
11/11/2015,,4.7
11/12/2015,,3.2
11/13/2015,,2.6
11/14/2015,,2.8
11/15/2015,,3.7
11/16/2015,,3.7
11/17/2015,,3.5
11/18/2015,,3.4
11/19/2015,,0.08
11/20/2015,,2.3
11/21/2015,,5.2
11/22/2015,,6.9
11/23/2015,,7.8
11/24/2015,,7.9
11/25/2015,,9.3
11/26/2015,,9.1
11/27/2015,,7.3
11/28/2015,,5.6
11/29/2015,,4.4
11/30/2015,,3.5
12/1/2015,,3.2
12/2/2015,,3.2
12/3/2015,,4
12/4/2015,,8.7
12/5/2015,,14
12/6/2015,,16
12/7/2015,,12
12/8/2015,,8.7
12/9/2015,,6.8
12/15/2015,,3.3
12/16/2015,,2.8
12/17/2015,,2.9
12/18/2015,,2.5
12/19/2015,,2.7
12/20/2015,,4
12/21/2015,,4.8
12/22/2015,,3.8
12/23/2015,,3.2
12/24/2015,,2.3
12/25/2015,,2.2
12/26/2015,,2.6
12/27/2015,,3.1
12/28/2015,,3.3
12/29/2015,,3.4
12/30/2015,,2.6
12/31/2015,,2.1
1/1/2016,,2.2
1/2/2016,,5.8
1/3/2016,,8.8
1/4/2016,,8.9
1/5/2016,,14
1/6/2016,,17
1/7/2016,,19
1/8/2016,,16
1/9/2016,,15
1/10/2016,,12
1/11/2016,,10
1/12/2016,,9.7
1/13/2016,,8.7
1/14/2016,,7.9
1/15/2016,,7.2
1/16/2016,,5.6
1/17/2016,,5.2
