Date,Remark,Value,,,,,,,,
11/1/2000,,0.16,,,,,,,,
7/25/2001,,0.2,,,,,,,,
10/2/2002,,0.08,,,,,,,,
11/14/2002,,0.07,,,,,,,,
12/5/2002,,0.08,,,,,,,,
1/9/2003,,0.06,,,,,,,,
2/5/2003,,0.06,,,,,,,,
3/10/2003,,0.05,,,,,,,,
4/3/2003,,0.05,,,,,,,,
5/13/2003,,0.05,,,,,,,,
8/4/2003,,0.05,,,,,,,,
9/8/2003,,0.05,,,,,,,,
10/1/2003,,0.06,,,,,,,,
11/20/2003,,0.05,,,,,,,,
12/15/2003,,0.05,,,,,,,,
1/8/2004,,0.06,,,,,,,,
2/18/2004,,0.06,,,,,,,,
3/10/2004,,0.06,,,,,,,,
4/19/2004,,0.07,,,,,,,,
5/11/2004,,0.07,,,,,,,,
6/10/2004,,0.06,,,,,,,,
7/22/2004,,0.15,,,,,,,,
8/18/2004,,0.06,,,,,,,,
9/14/2004,,0.04,,,,,,,,
10/5/2004,,0.03,,,,,,,,
11/2/2004,,0.04,,,,,,,,
12/7/2004,,0.04,,,,,,,,
1/4/2005,,0.04,,,,,,,,
2/1/2005,,0.04,,,,,,,,
3/1/2005,,0.04,,,,,,,,
3/15/2005,,0.13,,,,,,,,
3/24/2005,,0.06,,,,,,,,
3/29/2005,,0.06,,,,,,,,
4/5/2005,,0.04,,,,,,,,
5/9/2005,,0.05,,,,,,,,
6/8/2005,,0.05,,,,,,,,
6/17/2005,,0.07,,,,,,,,
6/21/2005,,0.07,,,,,,,,
8/3/2005,,0.04,,,,,,,,
9/13/2005,,0.03,,,,,,,,
9/29/2005,,0.05,,,,,,,,
10/3/2005,,0.05,,,,,,,,
10/11/2005,,0.03,,,,,,,,
11/3/2005,,0.03,,,,,,,,
12/8/2005,,0.05,,,,,,,,
12/15/2005,,0.1,,,,,,,,
1/4/2006,,0.05,,,,,,,,
1/13/2006,,0.05,,,,,,,,
1/19/2006,,0.05,,,,,,,,
2/9/2006,,0.05,,,,,,,,
3/8/2006,,0.05,,,,,,,,
3/14/2006,,0.14,,,,,,,,
4/5/2006,,0.06,,,,,,,,
5/2/2006,,0.06,,,,,,,,
6/7/2006,,0.07,,,,,,,,
6/29/2006,,0.17,,,,,,,,
7/6/2006,,0.07,,,,,,,,
9/13/2006,,0.15,,,,,,,,
10/4/2006,,0.08,,,,,,,,
11/8/2006,,0.09,,,,,,,,
12/5/2006,,0.09,,,,,,,,
12/27/2006,,0.13,,,,,,,,
1/4/2007,,0.1,,,,,,,,
2/7/2007,,0.11,,,,,,,,
3/14/2007,,0.13,,,,,,,,
3/20/2007,,0.13,,,,,,,,
3/21/2007,,0.13,,,,,,,,
4/11/2007,,0.14,,,,,,,,
5/9/2007,,0.14,,,,,,,,
6/13/2007,,0.14,,,,,,,,
6/26/2007,,0.14,,,,,,,,
9/5/2007,,0.16,,,,,,,,
10/10/2007,,0.16,,,,,,,,
11/7/2007,,0.17,,,,,,,,
12/5/2007,,0.17,,,,,,,,
12/20/2007,,0.17,,,,,,,,
1/9/2008,,0.17,,,,,,,,
2/6/2008,,0.17,,,,,,,,
3/5/2008,,0.18,,,,,,,,
4/2/2008,,0.18,,,,,,,,
5/7/2008,,0.18,,,,,,,,
9/17/2008,,0.09,,,,,,,,
10/29/2008,,0.08,,,,,,,,
11/5/2008,,0.08,,,,,,,,
12/3/2008,,0.08,,,,,,,,
1/14/2009,,0.08,,,,,,,,
2/11/2009,,0.09,,,,,,,,
3/11/2009,,0.09,,,,,,,,
4/16/2009,,0.1,,,,,,,,
5/13/2009,,0.11,,,,,,,,
9/20/2016,,0.32,,,,,,,,
10/24/2016,,0.32,,,,,,,,
11/14/2016,,0.18,,,,,,,,
12/14/2016,,0.77,,,,,,,,
1/18/2017,,0.82,,,,,,,,
2/21/2017,,0.82,,,,,,,,
3/22/2017,,0.87,,,,,,,,
4/19/2017,,0.96,,,,,,,,
5/16/2017,,1.17,,,,,,,,
6/21/2017,,0.67,,,,,,,,
7/26/2017,,0.54,,,,,,,,
8/21/2017,,0.19,,,,,,,,
10/16/2017,,0.14,,,,,,,,
10/25/2017,,0.09,,,,,,,,
11/20/2017,,0.16,,,,,,,,
12/11/2017,,0.09,,,,,,,,
12/20/2017,,0.3,,,,,,,,
1/17/2018,,0.32,,,,,,,,
2/21/2018,,0.08,,,,,,,,
2/22/2018,,0.99,,,,,,,,
3/19/2018,,0.88,,,,,,,,
4/17/2018,,0.96,,,,,,,,
4/23/2018,,0.08,,,,,,,,
5/23/2018,,0.78,,,,,,,,
6/7/2018,,0.08,,,,,,,,
6/18/2018,,0.38,,,,,,,,
7/23/2018,,0.25,,,,,,,,
8/21/2018,,0.29,,,,,,,,
9/18/2018,,0.16,,,,,,,,
10/16/2018,,0.91,,,,,,,,
10/23/2018,,0.06,,,,,,,,
11/19/2018,,0.91,,,,,,,,
12/12/2018,,0.99,,,,,,,,
12/19/2018,,0.06,,,,,,,,
1/23/2019,,1.05,,,,,,,,
2/20/2019,,0.07,,,,,,,,
2/21/2019,,0.87,,,,,,,,
3/21/2019,,0.79,,,,,,,,
