LandCover,Target,r,p_value,N
Agriculture,TKN_conc_change_pct_1999_2024,0.9381560109048028,0.22506496500082554,3
Wetlands,TKN_conc_change_pct_1999_2024,0.9139280620659629,0.0860719379340371,4
Developed,TKN_conc_change_pct_1999_2024,0.6954508546624905,0.30454914533750954,4
Forest,TKN_conc_change_pct_1999_2024,0.6732960818210771,0.32670391817892286,4
Barren Land,TKN_conc_change_pct_1999_2024,0.3971313862262085,0.7400114485851136,3
Water,TKN_conc_change_pct_1999_2024,-0.039759464960228814,0.9602405350397711,4
Agriculture,TKN_flux_change_pct_1999_2024,0.8607748671880148,0.3399589270139454,3
Wetlands,TKN_flux_change_pct_1999_2024,0.8556901327308963,0.14430986726910366,4
Developed,TKN_flux_change_pct_1999_2024,0.6551572538779543,0.3448427461220457,4
Forest,TKN_flux_change_pct_1999_2024,0.5708165860446797,0.42918341395532034,4
Barren Land,TKN_flux_change_pct_1999_2024,0.55541677794163,0.625117486571994,3
Water,TKN_flux_change_pct_1999_2024,0.09243108551850665,0.9075689144814933,4
