LandCover,Target,r,p_value,N
Barren Land,TN_conc_change_pct_1999_2024,-0.971197353341211,0.1531649065169904,3
Water,TN_conc_change_pct_1999_2024,-0.6951250452648126,0.30487495473518733,4
Developed,TN_conc_change_pct_1999_2024,0.6537147645492739,0.3462852354507261,4
Forest,TN_conc_change_pct_1999_2024,0.5537231565641214,0.4462768434358785,4
Wetlands,TN_conc_change_pct_1999_2024,0.3375916999559217,0.6624083000440782,4
Agriculture,TN_conc_change_pct_1999_2024,-0.2911691511731074,0.811911507068949,3
Barren Land,TN_flux_change_pct_1999_2024,-0.8183352649901937,0.38979452295383,3
Agriculture,TN_flux_change_pct_1999_2024,-0.6187461559709947,0.5752818906321095,3
Developed,TN_flux_change_pct_1999_2024,0.5937799261471279,0.40622007385287207,4
Water,TN_flux_change_pct_1999_2024,-0.45362405740868933,0.5463759425913106,4
Forest,TN_flux_change_pct_1999_2024,0.2998616325490991,0.700138367450901,4
Wetlands,TN_flux_change_pct_1999_2024,0.1403297954513458,0.8596702045486542,4
