LandCover,Target,r,p_value,N
Agriculture,TP_conc_change_pct_1999_2024,-0.9927142221050818,0.07689482602652992,3
Wetlands,TP_conc_change_pct_1999_2024,-0.9888169884593266,0.011183011540673351,4
Forest,TP_conc_change_pct_1999_2024,-0.8884254566928549,0.11157454330714511,4
Developed,TP_conc_change_pct_1999_2024,-0.7391151860439935,0.2608848139560063,4
Water,TP_conc_change_pct_1999_2024,0.3910430859795868,0.6089569140204132,4
Barren Land,TP_conc_change_pct_1999_2024,0.06588051945308979,0.9580287603875308,3
Agriculture,TP_flux_change_pct_1999_2024,-0.9967854190221187,0.05105916570125245,3
Wetlands,TP_flux_change_pct_1999_2024,-0.9944403469857467,0.005559653014253324,4
Forest,TP_flux_change_pct_1999_2024,-0.8633890080215166,0.13661099197848336,4
Developed,TP_flux_change_pct_1999_2024,-0.8067902242672648,0.19320977573273518,4
Water,TP_flux_change_pct_1999_2024,0.3302279888928508,0.6697720111071491,4
Barren Land,TP_flux_change_pct_1999_2024,0.025342995060746523,0.9838644207128087,3
