Date,Remark,Value
1/14/1999,,1.06
2/18/1999,,1.23
3/11/1999,,0.549
4/15/1999,,0.56
5/17/1999,,0.98
6/14/1999,,0.87
7/27/1999,,1.57
8/10/1999,<,0.05
9/2/1999,,2.72
9/30/1999,,1.85
10/11/1999,,1.16
11/22/1999,,1.45
12/17/1999,,1.18
1/20/2000,,0.582
2/28/2000,<,0.425
3/13/2000,<,0.428
4/17/2000,,1.209
5/8/2000,,0.615
6/19/2000,<,0.416
7/17/2000,,1.662
8/14/2000,,1.067
9/20/2000,,1.799
10/16/2000,,1.091
11/20/2000,,0.772
12/7/2000,<,0.435
1/11/2001,<,0.333
2/8/2001,,0.716
3/15/2001,,0.6515
4/4/2001,,0.9505
5/10/2001,,1.15
5/22/2001,<,0.05
6/4/2001,,0.911
7/2/2001,,2.1
8/9/2001,,1.49
9/6/2001,,0.67
10/2/2001,,1.05
11/12/2001,,1.5805
12/10/2001,,0.5165
1/9/2002,<,0.3805
2/6/2002,,0.53
3/4/2002,,0.777
4/9/2002,<,0.2
4/10/2002,,0.56
5/7/2002,<,0.063
5/8/2002,,0.934
6/5/2002,,1.358
7/15/2002,,1.4025
8/5/2002,,0.9915
9/5/2002,,1.364
10/3/2002,,1.278
10/17/2002,<,0.12
11/7/2002,,0.876
12/4/2002,,0.505
1/14/2003,,1.061
2/11/2003,,1.536
3/5/2003,,5.73
4/7/2003,,0.627
5/6/2003,,0.876
6/12/2003,,1.591
7/9/2003,,1.396
8/6/2003,,1.737
9/4/2003,,1.186
10/13/2003,,1.16427
10/22/2003,<,0.1
11/5/2003,,1.89721
12/3/2003,,0.9795
1/8/2004,<,0.358
1/12/2004,<,0.09
2/3/2004,,1.74104
3/2/2004,,1.06222
4/1/2004,<,0.43075
4/12/2004,<,0.076
5/5/2004,,1.26169
6/10/2004,,1.19838
7/6/2004,,1.19302
7/12/2004,<,0.187
7/19/2004,<,0.12
8/4/2004,,1.11153
9/14/2004,,1.579
10/5/2004,,1.60504
10/11/2004,<,0.17
10/18/2004,<,0.06
11/4/2004,,1.24954
12/8/2004,,0.78133
1/4/2005,<,0.4745
1/6/2005,<,0.1
1/17/2005,<,0.12
2/1/2005,<,0.29729
3/9/2005,,1.13122
4/7/2005,<,0.3
4/11/2005,<,0.12
5/12/2005,,1.02435
6/3/2005,,1.57279
7/5/2005,,1.66633
7/19/2005,<,0.06
7/25/2005,<,0.1
8/1/2005,,1.23541
9/16/2005,,1.19657
10/6/2005,<,0.09
10/12/2005,,1.06
10/20/2005,<,0.16
11/2/2005,,0.90223
12/6/2005,,0.84315
1/5/2006,,1.02448
1/19/2006,<,0.16
2/9/2006,,1.48731
3/22/2006,<,0.12
3/28/2006,<,0.07
4/3/2006,<,0.42981
4/18/2006,<,0.08
5/2/2006,<,0.11
5/9/2006,,1.11845
5/25/2006,<,0.08
5/31/2006,<,0.07
6/14/2006,<,0.08
6/30/2006,<,0.08
7/11/2006,<,0.88316
7/14/2006,<,0.08
7/25/2006,<,0.12
8/2/2006,<,0.08
8/31/2006,,1.2
9/11/2006,,1.07568
9/26/2006,<,0.08
9/28/2006,<,0.08
10/9/2006,,0.93314
10/13/2006,<,0.08
10/19/2006,<,0.08
10/26/2006,<,0.11
11/8/2006,,0.63747
11/9/2006,<,0.08
11/17/2006,<,0.08
