Date,Remark,Value
01/26/1999,<,0.1
06/16/1999,,1.7
08/25/1999,,1.5
11/09/1999,,1.1
02/24/2000,,1
09/13/2000,,1.6
12/12/2000,,1.6
03/29/2001,,2.2
06/13/2001,,2.1
09/19/2001,,1.6
12/19/2001,,1.4
03/14/2002,,1.2
06/19/2002,,1.8
09/19/2002,,0.92
12/09/2002,,0.855
12/30/2002,,0.88
03/10/2003,,1.225
03/26/2003,,1
06/19/2003,,0.89
10/09/2003,,0.74
01/06/2004,,0.78
04/22/2004,,1.5
08/03/2004,,1.5
02/08/2005,,1
05/18/2005,,1.1
08/03/2005,,0.93
11/02/2005,,0.81
02/15/2006,,0.69
05/04/2006,,2
07/31/2006,,1.8
10/31/2006,,1.9
02/01/2007,,0.93
03/12/2007,,0.72
05/02/2007,,1.4
05/30/2007,,1.8
08/07/2007,,1.18
08/21/2007,,1.1
10/22/2007,,1.26
11/13/2007,,1.3
02/13/2008,,1.3
05/01/2008,,1.1
09/17/2008,,0.95
12/18/2008,,0.87
02/18/2009,,0.88
08/25/2009,,1.5
11/19/2009,,0.97
02/23/2010,,0.83
06/01/2010,,1
08/12/2010,,1.1
11/22/2010,,1.1
02/15/2011,,0.77
05/17/2011,,1.4
09/13/2011,,1.1
11/21/2011,,0.94
02/28/2012,,1
05/23/2012,,1.6
08/07/2012,,1.5
11/28/2012,,1
02/28/2013,,0.92
05/24/2013,,1.3
08/21/2013,,0.9
02/27/2014,,1
05/21/2014,,1.8
08/13/2014,,1.1
11/20/2014,,0.83
02/24/2015,,0.82
05/18/2015,,0.93
08/18/2015,,0.93
10/21/2015,,0.97
11/19/2015,,0.87
01/26/2016,,0.966363636
02/18/2016,,0.84
04/27/2016,,1.140909091
05/19/2016,,1.2
07/20/2016,,1.109090909
08/30/2016,,0.93
11/08/2016,,0.65
02/15/2017,,0.95
05/22/2017,,1.8
08/22/2017,,1.4
12/21/2017,,0.7
02/20/2018,,0.85
05/16/2018,,1.2
11/19/2018,,0.74
02/11/2019,,0.66
06/17/2019,,0.97
07/02/2019,,1.1
08/12/2019,,0.68
11/06/2019,,0.67
03/02/2020,,0.72
06/09/2020,,1.1
08/13/2020,,0.84
11/17/2020,,0.54
02/05/2021,,0.62
07/15/2021,,1
09/03/2021,,0.8
11/29/2021,,0.72
02/16/2022,,0.736
05/03/2022,,0.834
06/13/2022,,0.72
08/10/2022,<,0.087
11/16/2022,,0.522
02/16/2023,,0.764
02/23/2023,,0.62
04/24/2023,,0.87
05/24/2023,,1.24
06/13/2023,,0.82
07/26/2023,,0.95
08/15/2023,,0.957
08/17/2023,,0.7
11/02/2023,,0.72
11/28/2023,,0.98
