Date ,Remark,Value
1/7/1999,,1
2/9/1999,,1.96
3/4/1999,,1.01
5/6/1999,,1.255
6/3/1999,,1.34
7/8/1999,,2.23
8/5/1999,,1.94
9/9/1999,,1.61
10/7/1999,,1.9
11/4/1999,,1.79
12/9/1999,,0.937
1/6/2000,,1.07
2/3/2000,,3.278
3/9/2000,,0.679
4/6/2000,,0.832
5/4/2000,,1.089
6/8/2000,,0.991
7/13/2000,,1.12
7/19/2000,,0.62
8/3/2000,,1.665
9/14/2000,,0.973
10/5/2000,,1.669
11/1/2000,,0.97
11/9/2000,,0.699
12/7/2000,,0.591
1/17/2001,,0.503
2/20/2001,,0.689
3/19/2001,,0.795
4/17/2001,,1.11
5/23/2001,,1.42
6/19/2001,,1.28
7/16/2001,,3.24
8/14/2001,<,0.37
9/25/2001,,1.24
10/16/2001,,1.43
12/19/2001,,1.043
1/15/2002,,3.477
2/12/2002,,3.017
3/12/2002,,1.07
4/16/2002,,2.572
4/19/2002,,2.442333333
5/7/2002,,0.9
6/18/2002,,1.541
7/17/2002,,1.465
8/13/2002,,1.29
9/5/2002,,1.209
10/2/2002,,2.35
10/15/2002,,0.996
11/14/2002,,2.28
11/19/2002,,2.235
12/5/2002,,2.26
12/11/2002,,1.935
1/14/2003,,1.293
2/5/2003,,1.821666667
3/10/2003,,2.192
4/3/2003,,1.6005
5/6/2003,,1.012
5/13/2003,,3.285
6/9/2003,,1.479
6/12/2003,,1.64
7/8/2003,,1.78
7/14/2003,,1.309
8/4/2003,,1.855
8/12/2003,,1.734
9/8/2003,,1.742666667
10/1/2003,,1.06
10/6/2003,,1.72355
11/12/2003,,1.58961
11/20/2003,,0.99
12/15/2003,,2.02
12/16/2003,,2.68707
1/8/2004,,1.65
1/12/2004,,0.94902
2/10/2004,,0.94192
2/18/2004,,1.4
3/9/2004,,1.03599
3/10/2004,,1.87
4/7/2004,,2.26054
4/19/2004,,1.265
5/5/2004,,2.43168
5/11/2004,,1.37
6/10/2004,,1.3425
6/15/2004,,1.10014
7/8/2004,,0.97611
7/14/2004,,1.345
7/22/2004,,0.55
8/11/2004,,1.16157
8/18/2004,,1.27
9/14/2004,,2.035
9/29/2004,,1.64613
10/5/2004,,2.23
10/18/2004,,1.37946
11/2/2004,,2.525
11/18/2004,,1.65508
12/7/2004,,2.76
12/13/2004,,0.99265
1/4/2005,,2.305
1/5/2005,,1.0829
2/1/2005,,2.295
2/8/2005,,1.14014
3/1/2005,,2.02
3/15/2005,,0.806465
3/29/2005,,2.03
4/5/2005,,1.815
4/13/2005,,1.00497
5/9/2005,,1.861226667
6/8/2005,,1.655
6/13/2005,,1.54677
6/21/2005,,1.57
7/6/2005,,1.67679
8/2/2005,,1.04098
8/3/2005,,2.285
8/9/2005,<,0.42
9/13/2005,,1.93643
10/3/2005,,1.78
10/11/2005,,1.78
10/12/2005,,0.875
11/3/2005,,2.1
11/7/2005,,0.76383
12/5/2005,,1.11426
12/8/2005,,2.045
12/15/2005,<,0.35
1/4/2006,,1.695
1/9/2006,,1.19023
1/19/2006,,1.91
2/1/2006,,0.96109
2/9/2006,,1.63
3/1/2006,,0.84875
3/8/2006,,1.935
3/14/2006,,0.54
4/4/2006,,3.11946
4/5/2006,,1.435
5/2/2006,,1.665
5/4/2006,,1.1476
5/31/2006,,1.488
6/5/2006,,1.30271
6/7/2006,,1.67
6/29/2006,<,0.48
7/6/2006,,1.46
7/10/2006,,0.89234
8/2/2006,,1.30761
8/23/2006,,1.4
9/7/2006,,1.055
9/11/2006,,1.2522
9/13/2006,,0.5
10/4/2006,,1.205
10/10/2006,,0.79629
11/8/2006,,0.98945
12/5/2006,,0.97
12/6/2006,,0.56326
12/27/2006,<,0.49
1/4/2007,,0.915
1/11/2007,,0.62026
2/6/2007,,0.68675
2/7/2007,,0.865
3/6/2007,,0.7173
3/14/2007,,1.08
3/20/2007,,0.7
3/21/2007,,0.992
4/4/2007,,0.86264
4/11/2007,,0.875
5/1/2007,,0.84093
5/9/2007,,0.955
6/5/2007,,1.0564
6/13/2007,,0.925
6/26/2007,,1.3
7/10/2007,,1.28878
7/11/2007,,1.07
8/6/2007,,1.27488
8/8/2007,,0.76
9/5/2007,,0.901778333
9/12/2007,,0.79
10/9/2007,,1.26864
10/10/2007,,0.96
11/6/2007,,0.926
11/7/2007,,1.005
12/5/2007,,0.9
12/10/2007,,0.8632
12/20/2007,,1.4
1/7/2008,,1.0983
1/9/2008,,1.05
2/4/2008,,0.9378
2/6/2008,,1.2
3/5/2008,,1.084666667
4/2/2008,,0.9526
5/5/2008,,1.0379
5/7/2008,,1.145
6/2/2008,,0.9524
6/4/2008,,1.13
7/7/2008,,1.2362
7/9/2008,,0.935
8/5/2008,,1.4116
8/6/2008,,0.945
9/2/2008,,1.6426
9/17/2008,,2.375
10/16/2008,,2.7352
10/29/2008,,2.9
11/5/2008,,2.7508
12/3/2008,,2.70345
1/14/2009,,2.53415
2/11/2009,,2.4521
3/11/2009,,2.47885
4/16/2009,,2.39525
