Date ,Remark,Value
1/26/1999,,1.153333333
2/16/1999,,0.8
3/16/1999,,0.96
3/17/1999,,1.29
4/20/1999,,1.32
5/4/1999,,2.02
5/18/1999,,1.12
6/22/1999,,0.99
7/9/1999,,1.65
7/20/1999,,1.18
8/17/1999,,1.08
9/21/1999,,1.13
9/30/1999,,1.65
10/19/1999,,1.49
11/9/1999,,1.83
11/16/1999,,1.3
12/21/1999,,1.18
1/4/2000,,1.44
2/8/2000,,1.09
3/1/2000,,1.1485
5/2/2000,,0.75
5/8/2000,,0.79
7/17/2000,,0.696
8/8/2000,,0.95
9/26/2000,,1.011
11/7/2000,,1.29
11/8/2000,,1.416
11/20/2000,,1.1
1/4/2001,,1.2265
3/1/2001,,0.833
3/6/2001,,0.81
5/7/2001,,1.78
6/5/2001,,1.14
7/23/2001,,1.3
7/24/2001,,2.146
9/11/2001,,2.266
9/25/2001,,1.64
10/9/2001,,1.7
10/23/2001,,1.6
11/6/2001,,1.5
11/12/2001,,1.688
11/21/2001,,1.4
12/4/2001,,1.3
12/17/2001,,1.8
1/4/2002,,1.3
1/14/2002,,1.4205
1/30/2002,,1.4
2/13/2002,,1.1
2/26/2002,,0.9
3/12/2002,,1.255
3/28/2002,,1
4/2/2002,,1.05
4/9/2002,,0.8
4/25/2002,,1.5
5/8/2002,,1.8
5/21/2002,,0.8
5/28/2002,,1.275
6/4/2002,,0.8
6/19/2002,,0.9
7/2/2002,,1.2
7/10/2002,,1.288
7/17/2002,,1.5
7/31/2002,,1.8
8/14/2002,,1.5
8/26/2002,,1.4
9/10/2002,,1.387
9/11/2002,,1.2
9/24/2002,,1.4
11/18/2002,,1.365
1/8/2003,,1.111
3/10/2003,,1.2185
5/19/2003,,1.4185
6/4/2003,,1.24
7/8/2003,,1.381
9/2/2003,,1.36
9/10/2003,,1.36
11/17/2003,,1.22704
1/12/2004,,1.17525
2/4/2004,,1
3/9/2004,,1.18891
5/4/2004,,1.209075
7/8/2004,,1.013833333
8/3/2004,,0.69
9/23/2004,,1.52446
11/2/2004,,1.35
11/16/2004,,1.32222
1/4/2005,,1.2
1/11/2005,,1.2554
1/28/2005,,0.625
2/15/2005,,0.76
3/7/2005,,1.24962
4/5/2005,,1.27
5/9/2005,,1.15896
6/30/2005,,0.83
7/12/2005,,1.255735
9/13/2005,,0.67
9/15/2005,,1.09033
10/18/2005,,1.09
11/30/2005,,0.97192
12/12/2005,,0.86
1/9/2006,,0.8633
2/7/2006,,0.102
3/13/2006,,0.78
3/16/2006,,1.1548
4/5/2006,,0.965
5/15/2006,,0.6188
5/16/2006,,0.653
7/17/2006,,1.26859
9/13/2006,,1.2221
9/14/2006,,0.66
10/18/2006,,0.74
11/2/2006,,0.74
11/14/2006,,1.43583
1/16/2007,,1.20597
2/7/2007,,0.77
3/13/2007,,0.676
4/3/2007,,1.4
5/7/2007,,1.5829
5/9/2007,,0.915
7/10/2007,,0.81784
7/24/2007,,1.6
9/10/2007,,1.45269
10/31/2007,,1.7
11/14/2007,,1.44
3/4/2008,,1.604
5/20/2008,,0.9544
6/17/2008,,1.009
7/14/2008,,1.4798
11/17/2008,,1.4524
12/3/2008,,1.174
1/14/2009,,1.3454
3/11/2009,,0.729
3/16/2009,,1.1959
3/30/2009,,0.875
5/7/2009,,1.0804
6/9/2009,,1.201
7/22/2009,,1.3704
7/28/2009,,1.045
9/16/2009,,1.309
9/17/2009,,1.4426
10/8/2009,,1.025
12/2/2009,,0.967
1/20/2010,,1.055
2/9/2010,,1.063
4/27/2010,,1.015
5/27/2010,,1.985
8/16/2010,,0.913
9/14/2010,,0.89
11/17/2010,,0.829
11/22/2010,,0.6983
12/6/2010,,1.025
1/19/2011,,0.9301
2/15/2011,,0.753
3/16/2011,,0.875
3/23/2011,,1.0962
5/3/2011,,1.387
5/19/2011,,0.8641
6/23/2011,,1.78
7/19/2011,,1.5442
8/8/2011,,1.231
9/20/2011,,1.5099
9/27/2011,,1.01
10/26/2011,,1.4812
11/16/2011,,0.973
12/19/2011,,0.825
12/21/2011,,1.4647
1/18/2012,,1.701
2/22/2012,,1.2203
3/19/2012,,1.125
4/24/2012,,0.7975
6/20/2012,,1.2076
6/28/2012,,1.635
7/10/2012,,1.263
8/20/2012,,1.2585
9/6/2012,,1
10/9/2012,,1.423
10/24/2012,,1.4921
2/20/2013,,1.1166
4/18/2013,,1.2191
4/24/2013,,1.275
6/12/2013,,1.145
6/18/2013,,1.1912
8/21/2013,,1.3374
12/9/2013,,0.95
4/21/2014,,0.835
7/29/2014,,0.53
2/24/2015,,0.65
5/13/2015,,0.75
7/29/2015,,0.84
10/7/2015,,0.74
2/18/2016,,0.97
4/26/2016,,1.2
6/9/2016,,0.96
9/13/2016,,0.7
12/8/2016,,0.86
2/21/2017,,0.7888
3/23/2017,,0.72
4/18/2017,,0.7515
6/21/2017,,1.1353
8/24/2017,,1.517
9/6/2017,,1.24
10/18/2017,,1.3306
12/7/2017,,0.84
12/18/2017,,1.2283
2/6/2018,,1.1571
2/28/2018,,0.91
3/12/2018,,0.86
4/3/2018,,0.69
4/18/2018,,1.2254
5/29/2018,,0.53
6/18/2018,,1.1768
7/18/2018,,1
8/13/2018,,0.99
8/20/2018,,1.113
9/24/2018,,0.88
10/17/2018,,1.0842
11/12/2018,,0.94
12/18/2018,,0.8206
1/16/2019,,1
2/5/2019,,1.1
2/11/2019,,0.8425
2/21/2019,,1.1
3/18/2019,,0.88
4/17/2019,,0.9659
5/6/2019,,1.02
5/13/2019,,1.1
6/17/2019,,1.1056
6/26/2019,,0.79
8/6/2019,,0.83
8/13/2019,,1.2188
10/15/2019,,1.3402
11/4/2019,,0.79
11/21/2019,,0.65
12/17/2019,,1.0411
2/19/2020,,0.7137
4/21/2020,,0.7834
5/20/2020,,1.16
