Date ,Remark,Value
1/6/1999,,1.158
1/12/1999,,1.1
1/13/1999,,1.213333333
1/20/1999,,1.393076923
1/26/1999,,1.228571429
1/27/1999,,1.04375
2/2/1999,,1.715
2/9/1999,,1.210769231
2/17/1999,,1.09
2/24/1999,,1.196666667
3/3/1999,,1.1
3/10/1999,,0.9585
3/17/1999,,1.223846154
3/23/1999,,1.238571429
3/30/1999,,0.86
4/1/1999,,1.07
4/12/1999,,1.0875
4/27/1999,,1.53
4/28/1999,,0.85
4/29/1999,,1.77
5/3/1999,,1.2
5/10/1999,,1.347142857
5/11/1999,,1.145
5/20/1999,,1.4
5/27/1999,,1.311
6/1/1999,,1
6/7/1999,,1.3
6/15/1999,,1.293333333
6/21/1999,,1.2
6/29/1999,,1.275
7/6/1999,,1.21
7/7/1999,,1.356
7/12/1999,,1.2
7/15/1999,,1.478571429
7/20/1999,,1.096666667
7/26/1999,,1.2
7/27/1999,,1.194
8/2/1999,,1.04
8/3/1999,,1.009
8/10/1999,,1.02575
8/16/1999,,1.2
8/23/1999,,1.275714286
8/26/1999,,0.967666667
9/2/1999,,1.074692308
9/23/1999,,1.286666667
9/27/1999,,1.095
9/28/1999,,1.24
10/5/1999,,1.6
10/12/1999,,1.16
10/19/1999,,1.12
10/25/1999,,1.395
10/26/1999,,1.453333333
11/2/1999,,1.4
11/9/1999,,1.34
11/15/1999,,1.3
11/22/1999,,1.133333333
12/1/1999,,1.31275
12/6/1999,,1.204285714
12/14/1999,,1.262
12/15/1999,,1.211571429
12/20/1999,,1.140769231
12/27/1999,,1.377
1/5/2000,,1.3
1/10/2000,,1.156
1/11/2000,,1.1
1/18/2000,,1.498333333
1/25/2000,,1.1715
1/26/2000,,1.435777778
2/1/2000,,1.3
2/7/2000,,1.294
2/15/2000,,1.058333333
2/22/2000,,0.9735
2/28/2000,,1.481666667
3/1/2000,,1.127333333
3/6/2000,,1.2
3/20/2000,,1.23725
3/21/2000,,0.97675
3/28/2000,,1.203
4/3/2000,,1.7
4/5/2000,,1.076
4/10/2000,,1.0645
4/18/2000,,1.12
4/24/2000,,1.148285714
4/25/2000,,1.1
5/1/2000,,1.3
5/8/2000,,0.994
5/16/2000,,1.107
5/23/2000,,0.9805
6/5/2000,,0.865
6/6/2000,,1.15
6/12/2000,,0.961
6/19/2000,,1
6/26/2000,,0.982333333
6/27/2000,,0.9515
7/5/2000,,0.96
7/10/2000,,1.1
7/17/2000,,0.977333333
7/19/2000,,1.273
7/24/2000,,1.032266667
7/25/2000,,1.2
7/31/2000,,0.981
8/7/2000,,0.963153846
8/14/2000,,0.93
8/16/2000,,1.034
8/23/2000,,1
8/28/2000,,1.2
9/5/2000,,0.95825
9/11/2000,,1.148666667
9/13/2000,,1.063
9/18/2000,,1.042
9/19/2000,,1.3712
9/27/2000,,1.1
10/11/2000,,0.90275
10/23/2000,,1.05
10/30/2000,,1.19
11/13/2000,,0.981
11/27/2000,,0.963
11/30/2000,,1.1
12/6/2000,,0.971
12/12/2000,,1.0375
12/13/2000,,1.695
12/18/2000,,0.93
1/2/2001,,1.12
1/4/2001,,1.05
1/9/2001,,1.085
1/11/2001,,0.995
1/16/2001,,1.23
1/24/2001,,1.07
2/5/2001,,0.91
2/15/2001,,0.891
2/19/2001,,0.992
2/20/2001,,0.943
2/26/2001,,0.94
3/8/2001,,1.236
3/15/2001,,1.04285
3/20/2001,,1.59
3/22/2001,,1.1
3/26/2001,,1.1815
4/2/2001,,1.165
4/10/2001,,1.2
4/16/2001,,1.375238095
4/30/2001,,1.385
5/2/2001,,2.06
5/3/2001,,1.773
5/14/2001,,0.99
5/21/2001,,1.210833333
5/29/2001,<,0.315
6/4/2001,<,0.324
6/5/2001,<,0.39
6/6/2001,,0.76
6/11/2001,,0.761111111
6/13/2001,,1.1732
6/18/2001,,1.166666667
6/19/2001,,0.59
6/20/2001,,0.965714286
6/26/2001,,0.53
6/27/2001,,1.52
7/3/2001,,1.23
7/5/2001,,1.697
7/11/2001,,1.597
7/16/2001,,1.711
7/18/2001,,1.3
7/25/2001,,1.5
7/31/2001,,1.728
8/1/2001,,1.7135
8/8/2001,,1.6
8/9/2001,,1.600666667
8/13/2001,,1.732
8/15/2001,,1.5
8/21/2001,,1.5435
8/22/2001,,1.418
8/29/2001,,1.5
9/4/2001,,1.183
9/5/2001,,1.9265
9/11/2001,,1.4725
9/19/2001,,1.4
9/24/2001,,1.2995
10/1/2001,,1.1
10/9/2001,,1.3405
10/18/2001,,1.1685
10/22/2001,,1.342333333
10/31/2001,,1.1545
11/1/2001,,1
11/6/2001,,1.042
11/12/2001,,1.292
11/20/2001,,1.1
11/28/2001,,1.163
12/3/2001,,1.0598
12/4/2001,,0.906666667
12/5/2001,,0.9145
12/18/2001,,1
1/3/2002,,1.1
1/8/2002,,0.944
1/9/2002,,0.9215
1/16/2002,,1.4
1/22/2002,,1.021
2/4/2002,,1.0275
2/11/2002,,0.9475
2/12/2002,,0.918
2/19/2002,,0.974
3/5/2002,,0.9622
3/6/2002,,0.936
3/11/2002,,1.193
3/20/2002,,1.3
3/28/2002,,1.3
4/1/2002,,1.179
4/2/2002,,1.405
4/8/2002,,1.3
4/16/2002,,1.4735
4/30/2002,,1.2595
5/1/2002,,1.419
5/6/2002,,1.477
5/13/2002,,1.4
