Date,Remark,Value Avg,,
12/02/2004,,0.75,,
03/10/2005,,0.82,,
01/07/2006,,0.70,,
10/06/2015,,1.09,,
11/03/2015,,0.91,,
12/07/2015,,1.12,,
01/09/2016,,0.92,,
02/20/2016,,0.74,,
03/20/2016,,0.83,,
04/20/2016,,0.96,,
05/27/2016,,0.80,,
07/20/2016,,0.83,,
08/07/2016,,0.92,,
10/23/2016,,0.69,,
12/26/2016,,0.70,,
10/08/2019,,0.64,,
09/28/2020,,0.59,,
12/22/2020,,0.58,,
03/15/2021,,0.79,,
06/21/2021,,0.84,,
09/15/2021,,0.75,,
12/09/2021,,0.31,,
03/30/2022,,0.57,,
04/19/2022,,1.00,,
05/05/2022,,0.63,,
06/02/2022,,0.72,,
06/16/2022,,0.74,,
06/29/2022,,0.64,,
07/07/2022,,0.66,,
08/08/2022,,0.68,,
09/14/2022,,0.50,,
12/07/2022,,0.57,,
02/23/2023,,0.54,,
03/14/2023,,0.56,,
04/24/2023,,0.65,,
06/08/2023,,0.64,,
06/13/2023,,0.75,,
08/17/2023,,0.88,,
09/28/2023,,0.64,,
11/02/2023,,0.66,,
11/28/2023,,0.74,,
01/03/2024,,1.16,,
03/11/2024,,0.57,,
