Date,Remark,Value
8/10/1999,,0.38
5/22/2001,,0.3
4/9/2002,,0.98
10/17/2002,,0.35
10/22/2003,,1.66
1/12/2004,,1.56
4/12/2004,,1.46
4/21/2004,,1.33
7/12/2004,,1.19
7/19/2004,,1.36
10/11/2004,,1.67
10/18/2004,,1.73
1/6/2005,,1.3
1/17/2005,,1.66
4/7/2005,,1.13
4/11/2005,,1.36
7/19/2005,,1.53
7/25/2005,,1.39
10/6/2005,,1.41
10/20/2005,,1.48
1/19/2006,,1.58
3/22/2006,,1.26
3/28/2006,,1.25
4/18/2006,,1.14
5/2/2006,,2.18
5/25/2006,,1.24
5/31/2006,,1.12
6/14/2006,,1.24
6/30/2006,,3.79
7/14/2006,,4.2
7/25/2006,,1.1
8/2/2006,,1.04
8/31/2006,,1.2
9/26/2006,,0.95
9/28/2006,,1.03
10/13/2006,,0.98
10/19/2006,,1.01
10/26/2006,,1.07
11/9/2006,,0.88
11/17/2006,,1.64
11/30/2006,,1.01
12/8/2006,,2.34
12/14/2006,,1
12/19/2006,,1
1/4/2007,,0.96
1/10/2007,,0.41
1/24/2007,,0.89
2/14/2007,,0.95
2/26/2007,,0.74
4/24/2007,,0.86
5/7/2007,,0.92
5/16/2007,,0.7
7/9/2007,,0.79
7/18/2007,,0.8
7/31/2007,,0.81
8/7/2007,,0.81
8/30/2007,,0.79
9/18/2007,,0.92
10/1/2007,,0.88
10/15/2007,,0.95
10/24/2007,,0.95
11/1/2007,,0.95
11/8/2007,,0.97
11/19/2007,,0.97
11/20/2007,,1.01
11/26/2007,,0.96
12/3/2007,,0.96
12/12/2007,,0.98
12/20/2007,,1.07
1/29/2008,,0.89
1/30/2008,,0.82
3/17/2008,,0.92
4/16/2008,,0.94
4/17/2008,,0.97
7/23/2008,,0.79
9/8/2008,,1.35
10/22/2008,,1.24
10/29/2008,,1.34
1/22/2009,,1.08
2/2/2009,,1.04
4/22/2009,,0.96
4/27/2009,,1.06
7/22/2009,,1.14
7/29/2009,,1.28
10/21/2009,,1.38
11/11/2009,,1.4
2/1/2010,,1.28
2/3/2010,,1.28
4/26/2010,,1.34
6/15/2010,,1.32
7/20/2010,,1.24
8/19/2010,,0.86
11/1/2010,,1.61
11/9/2010,,1.18
2/21/2011,,0.95
3/24/2011,,0.99
5/12/2011,,1.03
5/23/2011,,1.01
8/10/2011,,0.9
8/22/2011,,1.04
11/9/2011,,1.14
11/21/2011,,1.25
2/8/2012,,0.94
2/20/2012,,0.8
5/14/2012,,0.76
5/30/2012,,0.8
8/7/2012,,1.08
8/20/2012,,1.01
11/7/2012,,1.28
12/5/2012,,1.09
2/19/2013,,0.94
2/25/2013,,0.9
3/20/2013,,0.96
5/21/2013,,1.06
6/4/2013,,1.07
6/20/2013,,0.98
8/20/2013,,1.38
8/28/2013,,1.26
9/4/2013,,1.29
11/5/2013,,1.3
11/25/2013,,1.24
3/3/2014,,1.02
6/16/2014,,0.9
8/18/2014,,0.96
10/15/2014,,1.11
12/11/2014,,1.28
12/15/2014,,1.19
1/7/2015,,1.12
2/12/2015,,1.2
3/9/2015,,1.27
3/12/2015,,1.18
4/9/2015,,1.12
5/14/2015,,1.05
6/10/2015,,1.02
7/9/2015,,0.94
8/12/2015,,1.09
9/9/2015,,0.99
9/10/2015,,1.11
10/8/2015,,1.25
11/12/2015,,1.2
12/3/2015,,1.07
2/18/2016,,1.12
3/9/2016,,1.04
5/9/2016,,0.89
5/12/2016,,1
6/9/2016,,0.92
7/7/2016,,1.03
8/24/2016,,0.88
9/8/2016,,0.98
11/3/2016,,1.4
11/10/2016,,1.32
12/8/2016,,1.21
1/5/2017,,1.18
1/18/2017,,1.08
2/2/2017,,1.15
2/15/2017,,1.08
3/9/2017,,1.01
4/26/2017,,1.02
5/4/2017,,1
6/8/2017,,0.94
7/6/2017,,0.93
7/26/2017,,0.88
8/10/2017,,1.1
10/23/2017,,1.9
11/2/2017,,1.51
12/7/2017,,1.49
1/10/2018,,1.3
2/8/2018,,1.33
2/15/2018,,1.25
3/8/2018,,1.21
4/12/2018,,1.16
4/25/2018,,0.94
6/5/2018,,1.12
7/11/2018,,0.99
9/5/2018,,1.31
10/25/2018,,1.26
12/4/2018,,1.39
2/14/2019,,1.15
3/6/2019,,1.16
5/20/2019,,1.08
6/5/2019,,1.12
7/10/2019,,1.17
9/5/2019,,1.35
12/3/2019,,1.45
3/2/2020,,1.09
3/4/2020,,1.16
5/4/2020,,1.01
6/2/2020,,1.05
7/27/2020,,1.14
10/15/2020,,1.78
12/1/2020,,1.62
3/4/2021,,1.39
3/15/2021,,1.17
6/1/2021,,1.19
6/7/2021,,0.98
9/2/2021,,0.98
12/2/2021,,0.99
12/8/2021,,0.99
3/3/2022,,0.88
3/14/2022,,0.81
6/2/2022,,1.04
6/20/2022,,0.89
9/14/2022,,1.12
9/19/2022,,1.08
11/28/2022,,1.35
12/5/2022,,1.49
2/23/2023,,1.25
3/2/2023,,1.29
5/11/2023,,0.97
6/1/2023,,1.06
8/17/2023,,0.95
9/7/2023,,0.99
11/16/2023,,0.92
