Date,Remark,Value
1/13/1999,,0.57
1/26/1999,,1.47
2/4/1999,,0.56
2/24/1999,,1.53
3/25/1999,,1.42
3/28/1999,,0.57
7/11/1999,,0.76
9/11/1999,,0.59
9/28/1999,,1.52
10/24/1999,,0.99
11/3/1999,,1.29
11/21/1999,,0.73
12/14/1999,,1.46
1/9/2000,,0.66
7/5/2000,,0.66
7/19/2000,,0.16
11/1/2000,,1
7/25/2001,,1.39
4/19/2002,,2.69
10/2/2002,,2.54
11/14/2002,,2.36
12/5/2002,,2.39
2/5/2003,,1.84
3/10/2003,,1.6
4/3/2003,,1.8
5/13/2003,,2.47
6/12/2003,,1.74
7/8/2003,,1.89
8/4/2003,,1.93
9/8/2003,,1.83
10/1/2003,,1.09
10/5/2003,,0.66
11/16/2003,,0.6
11/20/2003,,1.06
12/15/2003,,2.13
1/8/2004,,1.76
2/18/2004,,1.48
3/10/2004,,1.95
4/19/2004,,1.34
5/11/2004,,1.49
6/10/2004,,1.49
7/14/2004,,1.03
7/22/2004,,0.57
8/18/2004,,1.36
9/14/2004,,2.04
10/5/2004,,2.24
11/2/2004,,2.54
12/7/2004,,2.85
1/4/2005,,2.64
2/1/2005,,2.56
3/1/2005,,2.29
3/15/2005,,0.46
3/29/2005,,2.31
4/5/2005,,2.06
5/9/2005,,2.43
6/8/2005,,1.83
6/21/2005,,1.75
7/6/2005,,1.79
8/3/2005,,2.36
8/9/2005,,0.44
9/13/2005,,2.18
10/3/2005,,1.84
10/11/2005,,1.85
11/3/2005,,2.16
11/14/2005,,0.57
12/8/2005,,2.09
12/15/2005,,0.46
1/2/2006,,0.6
1/4/2006,,1.8
1/19/2006,,2.04
2/9/2006,,1.71
3/8/2006,,2.06
3/13/2006,,0.5
3/14/2006,,0.59
5/2/2006,,1.83
6/7/2006,,1.85
6/29/2006,,0.48
7/3/2006,,0.45
7/6/2006,,1.66
8/2/2006,,1.45
8/23/2006,,1.43
9/6/2006,,0.45
9/7/2006,,1.06
9/13/2006,,0.51
10/4/2006,,1.22
11/8/2006,,1.15
12/5/2006,,1.01
12/27/2006,,0.49
1/4/2007,,0.97
2/7/2007,,0.91
3/14/2007,,1.19
3/20/2007,,0.72
3/21/2007,,1.01
4/11/2007,,0.93
5/9/2007,,0.96
6/13/2007,,0.93
6/26/2007,,1.3
7/11/2007,,1.07
8/8/2007,,0.76
9/5/2007,,0.85
9/12/2007,,0.79
10/10/2007,,1.01
11/7/2007,,1.1
12/5/2007,,1.03
12/20/2007,,1.54
1/9/2008,,1.15
2/6/2008,,1.3
3/5/2008,,1.27
4/2/2008,,1.22
5/7/2008,,1.3
6/4/2008,,1.21
7/9/2008,,0.95
8/6/2008,,1
9/17/2008,,2.46
10/16/2008,,2.92
10/29/2008,,3.06
11/5/2008,,3.25
12/3/2008,,3.11
1/14/2009,,2.91
3/11/2009,,2.85
4/16/2009,,2.75
5/13/2009,,2.65
7/23/2009,,0.71
10/21/2009,,0.77
10/2/2011,,0.64
8/12/2013,,0.52
9/29/2013,,0.53
10/31/2014,,0.59
10/11/2015,,0.55
9/25/2017,,0.55
10/9/2017,,0.59
10/23/2017,,0.49
10/25/2017,,2.95
11/1/2017,,0.55
12/6/2017,,0.48
2/21/2018,,2.32
3/12/2018,,0.49
4/11/2018,,0.55
4/23/2018,,2.58
5/31/2018,,2.29
6/7/2018,,1.93
8/21/2018,,2.53
8/28/2018,,0.51
9/20/2018,,0.54
10/23/2018,,1.41
12/19/2018,,2.35
1/7/2019,,0.53
1/24/2019,,0.46
2/20/2019,,2.1
2/26/2019,,0.67
4/18/2019,,2.13
5/22/2019,,0.57
6/13/2019,,0.54
6/18/2019,,2.04
10/17/2019,,2.13
1/6/2020,,1.98
2/18/2020,,1.92
4/28/2020,,1.93
6/9/2020,,1.71
8/6/2020,,1.69
10/28/2020,,2.23
12/28/2020,,2.2
1/18/2021,,2.03
2/24/2021,,2.07
5/4/2021,,2.08
5/27/2021,,1.87
6/30/2021,,1.8
7/12/2021,,1.7
8/16/2021,,1.75
8/31/2021,,1.86
9/16/2021,,1.75
10/14/2021,,1.85
10/27/2021,,1.83
12/27/2021,,1.61
2/7/2022,,1.8
4/14/2022,,1.7
6/14/2022,,1.61
8/15/2022,,1.77
