Date,Remark,Value
1/14/1999,,0.183
2/18/1999,,0.282
3/11/1999,,0.159
4/15/1999,,0.245
5/17/1999,,0.239
6/14/1999,,0.359
7/27/1999,,0.182
8/10/1999,,0.12
9/2/1999,,0.399
9/30/1999,,0.955
10/11/1999,,0.5
11/22/1999,,0.112
12/17/1999,,0.346
1/20/2000,,0.224
2/28/2000,,0.227
3/13/2000,,0.237
4/17/2000,,0.303
5/8/2000,,0.36
6/19/2000,,0.561
7/17/2000,,1.048
8/14/2000,,0.388
9/20/2000,,1.673
10/16/2000,,0.585
11/20/2000,,0.309
12/7/2000,,0.205
1/11/2001,,0.153
2/8/2001,,0.25
3/15/2001,,0.564
4/4/2001,,0.562
5/10/2001,,0.393
5/22/2001,,0.11
6/4/2001,,0.4015
7/2/2001,,1.225
8/9/2001,,1.64
9/6/2001,,0.735
10/2/2001,,1.04
11/12/2001,,0.1455
12/10/2001,,0.3775
1/9/2002,,0.1505
2/6/2002,,0.3185
3/4/2002,,0.326
4/10/2002,,0.328
5/7/2002,,0.16
5/8/2002,,0.294
6/5/2002,,0.164
7/15/2002,,0.63
8/5/2002,,0.139
9/5/2002,,0.401
10/3/2002,,0.249
10/17/2002,,0.12
11/7/2002,,0.689
12/4/2002,,0.257
1/14/2003,,0.37
2/11/2003,,0.518
3/5/2003,,1.333
4/7/2003,,0.552
5/6/2003,,0.718
6/12/2003,,1.451
7/9/2003,,0.995
8/6/2003,,1.315
9/4/2003,,0.928
10/13/2003,,0.63812
10/22/2003,,0.12
11/5/2003,,1.01918
12/3/2003,,0.24694
1/8/2004,,0.24863
1/12/2004,,0.12
2/3/2004,,0.64725
3/2/2004,,0.34663
4/1/2004,,0.29123
4/12/2004,,0.12
5/5/2004,,0.53229
6/10/2004,,0.4322
7/6/2004,,0.81474
7/12/2004,,0.118
7/19/2004,,0.11
8/4/2004,,0.75223
9/14/2004,,1.21482
10/5/2004,,1.39126
10/11/2004,,0.09
10/18/2004,,0.13
11/4/2004,,0.79777
12/8/2004,,0.49897
1/4/2005,,0.29132
1/6/2005,,0.212
1/17/2005,,0.13
2/1/2005,,0.16663
3/9/2005,,0.42614
4/7/2005,,0.112
4/11/2005,,0.11
5/12/2005,,0.48055
6/3/2005,,0.68937
7/5/2005,,0.96568
7/19/2005,,0.12
7/25/2005,,0.124
8/1/2005,,0.44527
9/16/2005,,0.69655
10/6/2005,,0.122
10/12/2005,,0.729
10/20/2005,,0.13
11/2/2005,,0.11578
12/6/2005,,0.58983
1/5/2006,,0.47917
1/19/2006,,0.12
2/9/2006,,0.39509
3/22/2006,,0.13
3/28/2006,,0.132
4/3/2006,,0.31411
4/18/2006,,0.13
5/2/2006,,0.13
5/9/2006,,0.27838
5/25/2006,,0.25
5/31/2006,,0.118
6/14/2006,,0.14
6/30/2006,,0.14
7/11/2006,,0.30746
7/14/2006,,0.13
7/25/2006,,0.12
8/2/2006,,0.12
8/31/2006,,0.11
9/11/2006,,0.6065
9/26/2006,,0.117
9/28/2006,,0.12
10/9/2006,,0.08115
10/13/2006,,0.083
10/19/2006,,0.11
10/26/2006,,0.14
11/8/2006,,0.24075
11/9/2006,,0.12
11/17/2006,,0.12
11/30/2006,,0.13
12/8/2006,,0.12
12/14/2006,,0.132
12/19/2006,,0.12
1/4/2007,,0.12
1/10/2007,,0.11
1/17/2007,,0.35
1/24/2007,,0.11
2/1/2007,,0.205545
2/14/2007,,0.13
2/26/2007,,0.116
3/1/2007,,0.19
3/12/2007,,0.28778
4/10/2007,,0.17392
4/24/2007,,0.14
5/3/2007,,0.32195
5/7/2007,,0.13
5/16/2007,,0.124
5/22/2007,,0.18
6/5/2007,,0.43
6/7/2007,,0.341
7/2/2007,,0.62453
7/9/2007,,0.13
7/18/2007,,0.495
7/31/2007,,0.1
8/7/2007,,0.495
8/28/2007,,0.51022
8/30/2007,,0.116
9/18/2007,,0.155
10/1/2007,,0.14
10/15/2007,,0.13
10/16/2007,,0.83
10/24/2007,,0.12
11/1/2007,,0.12
11/8/2007,,0.15
11/19/2007,,0.13
11/20/2007,,0.131
11/26/2007,,0.14
12/3/2007,,0.15
12/12/2007,,0.13
12/20/2007,,0.13
1/29/2008,,0.11
1/30/2008,,0.099
3/17/2008,,0.12
4/16/2008,,0.12
4/17/2008,,0.118
6/5/2008,,0.4208
7/21/2008,,1.5043
7/23/2008,,0.11
8/4/2008,,1.5558
9/8/2008,,0.151
9/15/2008,,0.6127
10/16/2008,,0.5516
10/22/2008,,0.12
10/29/2008,,0.119
11/17/2008,,0.3905
12/29/2008,,0.3307
1/14/2009,,1.0151
1/22/2009,,0.12
2/2/2009,,0.107
2/26/2009,,0.2819
3/5/2009,,0.2046
4/2/2009,,0.5808
4/22/2009,,0.12
4/27/2009,,0.115
5/11/2009,,0.5664
6/24/2009,,0.374
7/8/2009,,0.6454
7/22/2009,,0.115
7/29/2009,,0.12
8/24/2009,,1.7326
9/29/2009,,0.8013
10/21/2009,,0.11
10/29/2009,,0.6072
11/11/2009,,0.128
11/12/2009,,0.4394
12/21/2009,,0.2854
1/4/2010,,0.3463
2/1/2010,,0.113
2/3/2010,,0.9894
3/4/2010,,0.4577
4/14/2010,,0.3428
4/26/2010,,0.12
5/10/2010,,0.7732
6/15/2010,,0.119
7/20/2010,,0.12
8/4/2010,,0.844
8/19/2010,,0.117
9/16/2010,,0.4644
10/11/2010,,0.1167
11/1/2010,,0.124
11/9/2010,,0.11
11/11/2010,,0.1905
1/6/2011,,0.1662
2/10/2011,,0.2989
2/21/2011,,0.115
3/10/2011,,0.2819
3/24/2011,,0.11
4/5/2011,,0.2097
5/12/2011,,0.12
5/19/2011,,0.2003
5/23/2011,,0.121
6/8/2011,,0.3606
7/20/2011,,0.3549
8/10/2011,,0.11
8/22/2011,,0.25545
9/15/2011,,0.2213
11/9/2011,,0.11
11/14/2011,,0.3291
11/21/2011,,0.105
1/9/2012,,0.4934
2/8/2012,,0.11
2/20/2012,,0.112
3/15/2012,,0.2488
5/7/2012,,0.3507
5/14/2012,,0.12
5/30/2012,,0.12
7/18/2012,,0.9873
8/7/2012,,0.12
8/20/2012,,0.115
9/5/2012,,0.7702
11/6/2012,,0.1075
11/7/2012,,0.11
12/5/2012,,0.1123
1/15/2013,,0.7538
2/19/2013,,0.12
2/25/2013,,0.116
3/18/2013,,0.1482
3/20/2013,,0.1152
5/14/2013,,0.5911
5/21/2013,,0.12
6/4/2013,,0.1247
6/20/2013,,0.114
7/11/2013,,1.1328
8/20/2013,,0.12
8/28/2013,,0.119
9/4/2013,,0.1247
9/11/2013,,0.9514
11/5/2013,,0.1168
11/25/2013,,0.122
1/8/2014,,0.1262
1/16/2014,,0.7623
3/3/2014,,0.11
3/20/2014,,0.6093
5/29/2014,,0.8727
6/16/2014,,0.117
7/15/2014,,0.7461
8/18/2014,,0.12
9/9/2014,,0.7529
10/15/2014,,0.1205
11/6/2014,,0.1208
11/13/2014,,0.4262
12/11/2014,,0.1
12/15/2014,,0.114
1/7/2015,,0.11
1/8/2015,,0.5572
2/12/2015,,0.126
3/5/2015,,0.4485
3/9/2015,,0.126
3/12/2015,,0.122
4/9/2015,,0.122
5/7/2015,,0.6234
5/14/2015,,0.1258
6/10/2015,,0.1293
7/9/2015,,0.1204
8/12/2015,,0.1281
9/9/2015,,0.123
9/10/2015,,0.1211
10/8/2015,,0.1226
11/12/2015,,0.1462
12/3/2015,,0.139
12/10/2015,,0.1204
1/6/2016,,0.1248
1/14/2016,,0.4018
2/18/2016,,0.12085
3/9/2016,,0.0593
3/24/2016,,0.2741
4/7/2016,,0.1173
5/9/2016,,0.114
5/12/2016,,0.1213
6/9/2016,,0.1236
7/7/2016,,0.1172
8/11/2016,,0.1283
8/24/2016,,0.129
9/8/2016,,0.1292
10/5/2016,,0.122
11/3/2016,,0.1206
11/10/2016,,0.121
12/8/2016,,0.1197
1/5/2017,,0.1142
1/18/2017,,0.11
2/2/2017,,0.126
2/15/2017,,0.121
3/9/2017,,0.1188
4/6/2017,,0.1244
4/26/2017,,0.144
5/4/2017,,0.1237
6/8/2017,,0.1375
7/6/2017,,0.1206
7/26/2017,,0.137
8/10/2017,,0.118
9/21/2017,,0.133
10/23/2017,,0.136
11/2/2017,,0.1152
12/7/2017,,0.1172
1/10/2018,,0.1338
2/8/2018,,0.1246
2/15/2018,,0.121
3/8/2018,,0.1224
4/12/2018,,0.1258
4/25/2018,,0.118
5/10/2018,,0.1162
6/5/2018,,0.1168
7/11/2018,,0.115
9/5/2018,,0.1247
10/25/2018,,0.126
12/4/2018,,0.1194
2/14/2019,,0.124
3/6/2019,,0.1187
5/20/2019,,0.135
6/5/2019,,0.1165
7/10/2019,,0.119
9/5/2019,,0.1262
10/9/2019,,0.115
12/3/2019,,0.1209
3/2/2020,,0.112
3/4/2020,,0.1225
5/4/2020,,0.122
6/2/2020,,0.1277
7/27/2020,,0.141
9/2/2020,,0.13
10/15/2020,,0.126
12/1/2020,,0.1348
3/4/2021,,0.127
3/15/2021,,0.126
6/1/2021,,0.1379
6/7/2021,,0.123
9/2/2021,,0.1237
12/2/2021,,0.1273
12/8/2021,,0.124
3/3/2022,,0.1349
3/14/2022,,0.125
6/2/2022,,0.1305
6/20/2022,,0.135
9/14/2022,,0.1197
9/19/2022,,0.126
11/28/2022,,0.126
12/5/2022,,0.1448
2/23/2023,,0.135
3/2/2023,,0.1527
5/11/2023,,0.128
6/1/2023,,0.1344
8/17/2023,,0.122
9/7/2023,,0.1352
11/16/2023,,0.137
