Date ,Remark,Value
1/26/1999,,0.058
2/8/1999,,0.049
2/16/1999,,0.063
3/16/1999,,0.041
3/17/1999,,0.077
4/14/1999,,0.035
4/20/1999,,0.089
5/4/1999,,0.104
5/13/1999,,0.037
5/18/1999,,0.09
6/22/1999,,0.082
7/9/1999,<,0.001
7/20/1999,,0.081
7/27/1999,,0.043
8/2/1999,,0.046
8/17/1999,,0.072
9/21/1999,,0.084
9/30/1999,,0.059
10/19/1999,,0.136
11/8/1999,,0.053
11/9/1999,,0.096
11/16/1999,,0.095
12/7/1999,,0.057
12/21/1999,,0.07
1/4/2000,,0.092
1/5/2000,,0.184
1/11/2000,,0.037
1/18/2000,,0.153
2/1/2000,,0.153
2/8/2000,,0.09
2/15/2000,,0.123
2/18/2000,,0.037
3/1/2000,,0.109
3/8/2000,,0.038
3/14/2000,,0.184
3/28/2000,,0.092
4/12/2000,,0.092
4/25/2000,,0.045
5/2/2000,,0.07
5/8/2000,,0.056
5/15/2000,,0.036
5/22/2000,,0.031
6/5/2000,,0.061
6/20/2000,,0.061
6/22/2000,,0.041
7/5/2000,,0.092
7/17/2000,,0.069
7/18/2000,,0.031
8/1/2000,,0.061
8/8/2000,,0.06
8/14/2000,,0.061
8/29/2000,,0.061
9/13/2000,,0.075
9/26/2000,,0.106
10/11/2000,,0.092
10/24/2000,,0.031
11/6/2000,,0.092
11/7/2000,,0.05
11/8/2000,,0.059
11/20/2000,,0.071
12/5/2000,,0.092
12/20/2000,,0.123
1/3/2001,,0.153
1/4/2001,,0.058
1/17/2001,,0.061
1/26/2001,,0.05
1/30/2001,,0.184
2/12/2001,,0.184
2/27/2001,,0.215
3/1/2001,,0.099
3/6/2001,,0.12
3/13/2001,,0.053
3/14/2001,,0.184
3/27/2001,,0.153
4/10/2001,,0.092
4/12/2001,,0.061
5/7/2001,,0.117
5/8/2001,,0.092
5/10/2001,,0.049
5/22/2001,,0.092
6/5/2001,,0.049
6/19/2001,,0.031
7/2/2001,,0.031
7/11/2001,,0.047
7/17/2001,,0.123
7/24/2001,,0.099
7/31/2001,,0.061
8/8/2001,,0.041
8/30/2001,,0.491
9/4/2001,,0.045
9/5/2001,,0.034
9/11/2001,,0.442
9/25/2001,,0.315
10/9/2001,,0.115
10/23/2001,,0.307
11/6/2001,,0.215
11/8/2001,,0.038
11/9/2001,,0.05
11/12/2001,,0.089
11/21/2001,,0.153
12/4/2001,,0.184
12/17/2001,,0.08
1/4/2002,,0.184
1/14/2002,,0.154
1/24/2002,,0.038
1/30/2002,,0.184
2/13/2002,,0.058
2/26/2002,,0.153
3/12/2002,,0.063
3/15/2002,,0.032
3/28/2002,,0.123
4/2/2002,,0.06
4/9/2002,,0.092
4/15/2002,,0.035
4/25/2002,,0.061
5/8/2002,,0.123
5/21/2002,,0.092
5/28/2002,,0.066
6/4/2002,,0.031
6/13/2002,,0.044
6/19/2002,,0.031
7/2/2002,,0.061
7/10/2002,,0.095
7/17/2002,,0.276
7/18/2002,,0.08
7/31/2002,,0.399
8/14/2002,,0.583
8/15/2002,,0.066
8/26/2002,,0.491
9/10/2002,,0.135
9/11/2002,,0.368
9/19/2002,,0.042
9/24/2002,,0.337
11/15/2002,,0.035
11/18/2002,,0.086
1/8/2003,,0.047
2/13/2003,,0.049
3/10/2003,,0.113
3/14/2003,,0.054
5/19/2003,,0.052
6/4/2003,,0.087
6/11/2003,,0.04
7/8/2003,,0.09
7/21/2003,,0.047
9/2/2003,,0.117
9/10/2003,,0.115
11/4/2003,,0.061
11/17/2003,,0.063
1/12/2004,,0.054
2/4/2004,,0.057
2/10/2004,,0.048
2/11/2004,,0.064
3/9/2004,,0.072
4/19/2004,,0.046
5/4/2004,,0.102
7/8/2004,,0.118
8/3/2004,,0.066
8/10/2004,,0.042
9/23/2004,,0.15
11/2/2004,,0.138
11/15/2004,,0.073
11/16/2004,,0.115
1/4/2005,,0.078
1/11/2005,,0.08
1/28/2005,,0.057
2/15/2005,,0.052
2/21/2005,,0.047
3/7/2005,,0.075
4/5/2005,,0.077
4/14/2005,,0.06
5/9/2005,,0.075
5/27/2005,,0.056
6/30/2005,,0.07
7/12/2005,,0.103
9/13/2005,,0.054
9/15/2005,,0.085
9/16/2005,,0.053
10/10/2005,,0.094
10/11/2005,,0.061
10/18/2005,,0.02
11/30/2005,,0.056
12/12/2005,,0.085
12/19/2005,,0.066
1/9/2006,,0.044
2/7/2006,,0.02
2/21/2006,,0.061
3/13/2006,,0.056
3/16/2006,,0.066
4/5/2006,,0.054
4/11/2006,,0.066
5/15/2006,,0.055
5/16/2006,,0.108
7/17/2006,,0.09
8/22/2006,,0.099
9/13/2006,,0.085
9/14/2006,,0.084
10/13/2006,,0.059
10/18/2006,,0.056
11/2/2006,,0.056
11/14/2006,,0.062
1/16/2007,,0.062
3/13/2007,,0.047
3/14/2007,,0.049
5/7/2007,,0.145
5/9/2007,,0.072
5/16/2007,,0.066
6/13/2007,,0.066
7/10/2007,,0.085
7/16/2007,,0.06
8/13/2007,,0.05
9/10/2007,,0.164
9/12/2007,,0.051
10/11/2007,,0.048
11/14/2007,,0.067
12/18/2007,,0.051
1/16/2008,,0.048
2/14/2008,,0.046
3/4/2008,,0.09
3/13/2008,,0.035
4/10/2008,,0.038
5/16/2008,,0.04
5/20/2008,,0.107
6/11/2008,,0.041
6/17/2008,,0.107
7/14/2008,,0.102
11/17/2008,,0.144
12/3/2008,,0.079
1/14/2009,,0.102
3/11/2009,,0.066
3/16/2009,,0.078
3/30/2009,,0.028
5/7/2009,,0.104
6/2/2009,,0.086
6/9/2009,,0.085
7/8/2009,,0.081
7/22/2009,,0.098
7/28/2009,,0.053
9/9/2009,,0.063
9/16/2009,,0.116
9/17/2009,,0.132
10/8/2009,,0.04
11/5/2009,,0.046
12/2/2009,,0.097
1/12/2010,,0.039
1/20/2010,,0.03
2/9/2010,,0.053
3/23/2010,,0.059
4/27/2010,,0.062
5/5/2010,,0.099
5/27/2010,,0.043
7/1/2010,,0.051
8/16/2010,,0.067
9/2/2010,,0.039
