Date ,Remark,Value Avg,
01/06/1999,,0.071,
01/12/1999,,0.059,
01/13/1999,,0.081,
01/20/1999,,0.055,
01/26/1999,,0.070,
01/27/1999,,0.068,
02/02/1999,,0.064,
02/09/1999,,0.062,
02/17/1999,,0.061,
02/24/1999,,0.070,
03/03/1999,,0.137,
03/10/1999,,0.066,
03/17/1999,,0.057,
03/23/1999,,0.063,
03/30/1999,,0.059,
04/01/1999,,0.055,
04/12/1999,,0.045,
04/27/1999,,0.060,
04/28/1999,,0.047,
04/29/1999,,0.074,
05/03/1999,,0.061,
05/10/1999,,0.074,
05/11/1999,,0.079,
05/20/1999,,0.063,
05/27/1999,,0.104,
06/01/1999,,0.075,
06/07/1999,,0.101,
06/15/1999,,0.077,
06/21/1999,,0.090,
06/29/1999,,0.086,
07/06/1999,,0.085,
07/07/1999,,0.095,
07/12/1999,,0.065,
07/15/1999,,0.087,
07/20/1999,,0.087,
07/26/1999,,0.040,
07/27/1999,,0.088,
08/03/1999,,0.105,
08/10/1999,,0.082,
08/16/1999,,0.098,
08/23/1999,,0.047,
08/26/1999,,0.101,
09/02/1999,,0.130,
09/23/1999,,0.111,
09/27/1999,,0.110,
09/28/1999,,0.093,
10/05/1999,,0.110,
10/12/1999,,0.104,
10/19/1999,,0.099,
10/25/1999,,0.110,
10/26/1999,,0.111,
11/02/1999,,0.074,
11/09/1999,,0.046,
11/15/1999,,0.059,
11/22/1999,,0.062,
12/01/1999,,0.054,
12/06/1999,,0.070,
12/14/1999,,0.064,
12/15/1999,,0.063,
12/20/1999,,0.089,
12/27/1999,,0.083,
01/05/2000,,0.085,
01/10/2000,,0.081,
01/11/2000,,0.072,
01/18/2000,,0.062,
01/25/2000,,0.092,
01/26/2000,,0.128,
02/01/2000,,0.079,
02/07/2000,,0.070,
02/15/2000,,0.069,
02/22/2000,,0.068,
02/28/2000,,0.070,
03/01/2000,,0.059,
03/06/2000,,0.067,
03/20/2000,,0.089,
03/21/2000,,0.098,
03/28/2000,,0.067,
04/03/2000,,0.073,
04/05/2000,,0.096,
04/10/2000,,0.066,
04/18/2000,,0.093,
04/24/2000,,0.077,
04/25/2000,,0.078,
05/01/2000,,0.064,
05/08/2000,,0.066,
05/16/2000,,0.148,
05/23/2000,,0.058,
06/05/2000,,0.085,
06/06/2000,,0.126,
06/12/2000,,0.101,
06/19/2000,,0.118,
06/26/2000,,0.170,
06/27/2000,,0.103,
07/05/2000,,0.117,
07/10/2000,,0.125,
07/17/2000,,0.129,
07/19/2000,,0.140,
07/24/2000,,0.110,
07/25/2000,,0.089,
07/31/2000,,0.115,
08/07/2000,,0.099,
08/14/2000,,0.096,
08/16/2000,,0.125,
08/23/2000,,0.115,
08/28/2000,,0.140,
09/05/2000,,0.128,
09/11/2000,,0.146,
09/13/2000,,0.100,
09/18/2000,,0.140,
09/19/2000,,0.139,
09/27/2000,,0.159,
10/11/2000,,0.143,
10/12/2000,,0.150,
10/23/2000,,0.190,
10/30/2000,,0.103,
11/13/2000,,0.100,
11/15/2000,,0.072,
11/27/2000,,0.092,
11/30/2000,,0.080,
12/06/2000,,0.093,
12/12/2000,,0.070,
12/13/2000,,0.078,
12/18/2000,,0.088,
01/02/2001,,0.060,
01/04/2001,,0.075,
01/09/2001,,0.109,
01/11/2001,,0.062,
01/16/2001,,0.052,
01/24/2001,,0.102,
02/05/2001,,0.074,
02/15/2001,,0.046,
02/19/2001,,0.066,
02/20/2001,,0.060,
02/26/2001,,0.062,
03/08/2001,,0.078,
03/15/2001,,0.134,
03/20/2001,,0.092,
03/22/2001,,0.088,
03/26/2001,,0.055,
04/02/2001,,0.064,
04/10/2001,,0.045,
04/16/2001,,0.083,
04/30/2001,,0.070,
05/02/2001,,0.058,
05/03/2001,,0.500,
05/14/2001,,0.067,
05/21/2001,,0.078,
05/29/2001,,0.076,
06/04/2001,,0.074,
06/05/2001,,0.081,
06/06/2001,,0.074,
06/11/2001,,0.088,
